#,Name of Scheme,Description,Level,Benefit,Target Group,Conditional Cases / Eligibility,Nodal Agency/Implementation
"I. CENTRAL SCHEMES: FINANCE, CREDIT & EQUITY",,,,,,,
36.1,IPR/Patent Reimbursement - Attorney Fee,Reimbursement of associated legal fees.,State (UP),"Reimbursement of attorney fees: ₹50K (National), ₹200K (International).",MSMEs (R&D focused),Reimbursement for fees related to patent/GI application.,Directorate of Industries UP
37,ICT Solution Implementation Subsidy (ERP/ICT),Financial assistance for adopting modern IT solutions.,State (UP),"Reimbursement up to 75%: Max. ₹1 Lakh (ERP), Max. ₹5 Lakh (ICT Solutions).",MSMEs,Reimbursement on cost of implementation of approved solutions.,Directorate of Industries UP
38,Environment Improvement Measures - Zero Liquid Discharge (ZLD),Fiscal assistance for environmental compliance.,State (UP),50% of project cost (Max. ₹75 Lakh) for ZLD facility.,MSMEs,Subsidy for establishing ZLD facility.,Directorate of Industries UP
39,Mukhyamantri Yuva Swarozgar Yojana (MYSY),Provides self-employment opportunities to educated unemployed youth.,State (UP),Loan up to ₹25 Lakh (Mfg) / ₹10 Lakh (Service) with Margin Money Subsidy (up to 25%).,Educated Unemployed Youth (18-40 years),Minimum High School pass; applicant must not be a defaulter of any bank.,Directorate of Industries UP
40,One District One Product (ODOP) - Margin Money Scheme,Financial assistance for ODOP product manufacturing units.,State (UP),Margin Money Subsidy up to 25% (Max. ₹6.25 Lakh) for projects up to ₹25 Lakh.,Artisans and Enterprises dealing in ODOP products,Subsidy rate varies by project cost slab (up to ₹20 Lakh max for projects > ₹150 Lakh).,Directorate of Industries UP
40.1,ODOP - Common Facility Centre (CFC) Scheme,Establishes shared infrastructure for ODOP clusters.,State (UP),90% financial assistance for SPV on project cost (construction + P&M).,SPVs/NGOs/Cooperatives/LLPs in ODOP clusters,"For establishing design labs, raw material banks, testing labs.",Directorate of Industries UP
40.2,ODOP - Skill Development & Toolkit Distribution,Upgrading skills and providing modern tools to artisans.,State (UP),Free Toolkit and ₹200/day honorarium during training.,Artisans/Weavers (skilled and unskilled) of ODOP products,10-day training for unskilled; RPL certification for skilled.,Directorate of Industries UP
40.3,ODOP - Market Development Assistance (MDA),Financial assistance for market access.,State (UP),Financial assistance for participation in national/international fairs/exhibitions.,"Artisans, Entrepreneurs, Exporters of ODOP products",For display and sale of selected ODOP products.,Directorate of Industries UP
41,Promoting Environment Improvement - Green Audits,Encouraging green practices and environmental audits.,State (UP),"Reimbursement of 75% (Max. ₹50,000) towards audit services fee.",MSMEs,"Reimbursement for Energy, Water Conservation, etc., audits.",Directorate of Industries UP
42,Employment Promotion Policy - EPF Reimbursement,Subsidizing employment costs for new workers.,State (UP),100% reimbursement of employer's share of EPF (for 5 years).,New MSMEs,For new employees from the date of unit commencement.,Directorate of Industries UP
